Company/Brand,Sector,Amount,HeadQuarter,Funding Year,Founded,Investor
Cell Propulsion,Undisclosed,102200.0,"Bangalore, Karnataka, India",2018,2020.0,unknown
Chezuba,"Internet, Social Entrepreneurship",20440.0,"Hyderabad, Andhra Pradesh, India",2018,2020.0,unknown
Awign Enterprises,"Business Development, Market Research, Outsourcing",730000.0,"Bangalore, Karnataka, India",2018,2020.0,unknown
Workflexi,Human Resources,146000.0,"Bangalore, Karnataka, India",2018,2020.0,unknown
Streak,Financial Services,328500.0,"Bangalore, Karnataka, India",2018,2020.0,unknown
Kuants,Financial Services,73000.0,"Gurgaon, Haryana, India",2018,2020.0,unknown
True Elements,"Dietary Supplements, Food and Beverage, Health Care, Organic Food, Snack Food",730000.0,"Pune, Maharashtra, India",2018,2020.0,unknown
Planys Technologies,"Manufacturing, Oil and Gas, Robotics",2046920.0,"Chennai, Tamil Nadu, India",2018,2020.0,unknown
Log 9 Materials,Nanotechnology,438000.0,"Uttar Pradesh, India, Asia",2018,2020.0,unknown
VTION,"Analytics, Audio, Digital Media, Innovation Management, Internet Radio, Media and Entertainment",280320.0,"Gurgaon, Haryana, India",2018,2020.0,unknown
HousingMan.com,Undisclosed,1503800.0,"Bengaluru, Karnataka, India",2018,2020.0,unknown
RupeeCircle,"Financial Services, Lending, Peer to Peer",584000.0,"Mumbai, Maharashtra, India",2018,2020.0,unknown
Inner Being Wellness,Undisclosed,511000.0,"Hyderabad, Andhra Pradesh, India",2018,2020.0,unknown
Wishberry,"Crowdfunding, Finance, Financial Services",1460000.0,"Mumbai, Maharashtra, India",2018,2020.0,unknown
ENLYFT DIGITAL SOLUTIONS PRIVATE LIMITED,Undisclosed,2920.0,"Pune, Maharashtra, India",2018,2020.0,unknown
ZunRoof,"Environmental Consulting, Renewable Energy",242360.0,"Gurgaon, Haryana, India",2018,2020.0,unknown
Eggoz,"Food and Beverage, Food Processing",175200.0,"Indore, Madhya Pradesh, India",2018,2020.0,unknown
EGK Foods,"Food and Beverage, Food Processing, Organic Food, Snack Food",292000.0,"Mumbai, Maharashtra, India",2018,2020.0,unknown
Nivesh.com,"Finance, Financial Services, Marketing",438000.0,"Noida, Uttar Pradesh, India",2018,2020.0,unknown
Hey Deedee,"Delivery Service, Logistics, Service Industry",481800.0,"Mumbai, Maharashtra, India",2018,2020.0,unknown
Printline Media(ThePrint),"Digital Media, News, Publishing",509540.0,"New Delhi, Delhi, India",2018,2020.0,unknown
Doxper,"Health Care, Hospital",1051200.0,"Mumbai, Maharashtra, India",2018,2020.0,unknown
i2ifunding,"Crowdfunding, Finance, Financial Services",730000.0,"Noida, Uttar Pradesh, India",2018,2020.0,unknown
CoinGeto,"Cryptocurrency, Trading Platform",1752000.0,"Delhi, Delhi, India",2018,2020.0,unknown
Doubtnut,"E-Learning, EdTech, Education, Image Recognition, Machine Learning, STEM Education",511000.0,"Gurgaon, Haryana, India",2018,2020.0,unknown
MCaffeine,Consumer Goods,467200.0,"Mumbai, Maharashtra, India",2018,2020.0,unknown
Picture TIme,Digital Entertainment,3650000.0,"New Delhi, Delhi, India",2018,2020.0,unknown
Wellthy Therapeutics Pvt Ltd,"Health Care, Hospital",1971000.0,"Mumbai, Maharashtra, India",2018,2020.0,unknown
arzooo.com,"Consumer Electronics, E-Commerce, E-Commerce Platforms, Electronics, Shipping, Shopping",219000.0,"Bangalore, Karnataka, India",2018,2020.0,unknown
Bonphul Air Products,CleanTech,292000.0,"Delhi, Delhi, India",2018,2020.0,unknown
Chtrbox,"Advertising, Internet, Marketing",146000.0,"Mumbai, Maharashtra, India",2018,2020.0,unknown
Aashiyaan Housing and Development Finance,Financial Services,1971000.0,"Kolkata, West Bengal, India",2018,2020.0,unknown
Cashkumar,"Consumer Lending, Finance, FinTech",730000.0,"Bengaluru, Karnataka, India",2018,2020.0,unknown
Rocketium,"Marketing, Social Media, Video",292000.0,"Bangalore, Karnataka, India",2018,2020.0,unknown
Earth Food,"Food and Beverage, Food Processing",934400.0,"Pune, Maharashtra, India",2018,2020.0,unknown
Charcoal Eats,Food Processing,730000.0,"Mumbai, Maharashtra, India",2018,2020.0,unknown
Career Anna,"Commercial, E-Learning, Education",584000.0,"Bangalore, Karnataka, India",2018,2020.0,unknown
Kogta Financial India Limited,Financial Services,22484000.0,"Jaipur, Rajasthan, India",2018,2020.0,unknown
Hush - Speak Up. Make Work Better,"Communities, Leisure, Mobile Apps, Software",657000.0,"Bangalore, Karnataka, India",2018,2020.0,unknown
CloudSek,"Information Technology, SaaS, Security",2044000.0,"Bengaluru, Karnataka, India",2018,2020.0,unknown
Lendbox,"Crowdfunding, Financial Services, Internet",876000.0,"Delhi, Delhi, India",2018,2020.0,unknown
Idha Skin Clinic,"Beauty, Cosmetics, Health Care, Service Industry",73000.0,"Bangalore City, Karnataka, India",2018,2020.0,unknown
Magicpin,"E-Commerce, E-Commerce Platforms, Retail",20586000.0,"Gurgaon, Haryana, India",2018,2020.0,unknown
Aye Finance,"Finance, Financial Services, Small and Medium Businesses",1051200.0,"Gurgaon, Haryana, India",2018,2020.0,unknown
Signzy,"Computer, FinTech, Risk Management, Software",3504000.0,"Bangalore, Karnataka, India",2018,2020.0,unknown
CropIn Technologies,"Agriculture, Mobile",8468000.0,"Bengaluru, Karnataka, India",2018,2020.0,unknown
hoi foods,"Food and Beverage, Food Delivery",525600.0,"Gurgaon, Haryana, India",2018,2020.0,unknown
Perpule,"Apps, Payments, Retail",4964000.0,"Bangalore, Karnataka, India",2018,2020.0,unknown
CleanseCar,Automotive,511000.0,"Bangalore, Karnataka, India",2018,2020.0,unknown
DRIVEU,"Rental, Taxi Service, Travel",1022000.0,"Bengaluru, Karnataka, India",2018,2020.0,unknown
Med365 Healthcare,Health Diagnostics,730000.0,"Jaipur, Rajasthan, India",2018,2020.0,unknown
Dunzo,"Customer Service, Messaging, Mobile Apps, Personalization",1022000.0,"Bangalore, Karnataka, India",2018,2020.0,unknown
Traveo Soft Pvt. Ltd.,"Mobile, Software, Travel",17520.0,"Bangalore, Karnataka, India",2018,2020.0,unknown
GamingMonk,"eSports, Gaming, Video Games",584000.0,"New Delhi, Delhi, India",2018,2020.0,unknown
Sukkhi Jewellery,"Fashion, Jewelry",7446000.0,"Mumbai, Maharashtra, India",2018,2020.0,unknown
INDwealth,Financial Services,32120000.0,"Gurgaon, Haryana, India",2018,2020.0,unknown
Indiabulls Ventures,"Financial Services, Venture Capital",224723200.0,"Mumbai, Maharashtra, India",2018,2020.0,unknown
Vistara,Aerospace,292000000.0,"Haryana, Haryana, India",2018,2020.0,unknown
ClearTax,"Accounting, Apps, FinTech",58400000.0,"New Delhi, Delhi, India",2018,2020.0,unknown
GuruQ,Reading Apps,365000.0,"New Delhi, Delhi, India",2018,2020.0,unknown
Cube,"Banking, Financial Services, FinTech",2044000.0,"Mumbai, Maharashtra, India",2018,2020.0,unknown
Worxogo,Information Technology,2409000.0,"Bangalore, Karnataka, India",2018,2020.0,unknown
Vivish Technologies (myGate),"Apps, Information Services, Information Technology",9490000.0,"Bengaluru, Karnataka, India",2018,2020.0,unknown
GoZefo,"Computer, Furniture, Software",3066000.0,"Bangalore, Karnataka, India",2018,2020.0,unknown
Lavelle Networks,"Cloud Computing, Enterprise Software, Network Hardware, Network Security, SaaS",292000.0,"Bengaluru, Karnataka, India",2018,2020.0,unknown
Blackbuck,"Information Services, Internet, Logistics, Supply Chain Management, Transportation",29632160.0,"Bengaluru, Karnataka, India",2018,2020.0,unknown
ElasticRun,"Delivery, Logistics, Transportation",8760000.0,"Pune, Maharashtra, India",2018,2020.0,unknown
Vogo Rentals,"Last Mile Transportation, Railroad, Transportation, Travel",1168000.0,"Kormangala, Karnataka, India",2018,2020.0,unknown
9stacks,"Online Games, Software",4088000.0,"Delhi, Delhi, India",2018,2020.0,unknown
Origo,Undisclosed,11680000.0,"Gurgaon, Haryana, India",2018,2020.0,unknown
Stanza Living,"Hospitality, Information Technology, Travel Accommodations",10658000.0,"New Delhi, Delhi, India",2018,2020.0,unknown
Satya MicroCapital,"Finance, Financial Exchanges, Financial Services, Micro Lending",5840000.0,"New Delhi, Delhi, India",2018,2020.0,unknown
Ummeed Housing Finance Private Limited,"Finance, Financial Services",8760000.0,"Haryana, Haryana, India",2018,2020.0,unknown
Qbera,"Finance, Financial Services",2044000.0,"Bangalore, Karnataka, India",2018,2020.0,unknown
Planet11 eCommerce Solutions India (Avenue11),Undisclosed,3796000.0,"Bengaluru, Karnataka, India",2018,2020.0,unknown
Iba Halal Care,Undisclosed,2190000.0,"Ahmedabad, Gujarat, India",2018,2020.0,unknown
Parkwheels,"Industrial, Industrial Automation",175200.0,"Haryana, Haryana, India",2018,2020.0,unknown
GoBolt,"Logistics, Railroad, Transportation",5840000.0,"New Delhi, Delhi, India",2018,2020.0,unknown
Myra,"Apps, Health Care, Pharmaceutical",127750.0,"Bangalore, Karnataka, India",2018,2020.0,unknown
Bon(Bonfleet Solutions),"Financial Services, FinTech",1138800.0,"Pune, Maharashtra, India",2018,2020.0,unknown
Haazri,"Food and Beverage, Snack Food, Tea",182500.0,"Mumbai, Maharashtra, India",2018,2020.0,unknown
Flyrobe,"Fashion, Lifestyle, Rental",3854400.0,"Mumbai, Maharashtra, India",2018,2020.0,unknown
Nykaa,"Beauty, Fashion, Wellness",16498000.0,"Mumbai, Maharashtra, India",2018,2020.0,unknown
Chaayos,"Food and Beverage, Restaurants, Tea",11826000.0,"New Delhi, Delhi, India",2018,2020.0,unknown
LT Foods,"Food and Beverage, Food Processing, Manufacturing",20440000.0,"New Delhi, Delhi, India",2018,2020.0,unknown
Multibashi,"E-Learning, Internet",146000.0,"Bengaluru, Karnataka, India",2018,2020.0,unknown
Droni Tech,Information Technology,511000.0,"Mumbai, Maharashtra, India",2018,2020.0,unknown
TheCollegeFever,"Brand Marketing, Event Promotion, Marketing, Sponsorship, Ticketing",250000.0,"Bangalore, Karnataka, India",2018,2020.0,unknown
PayMe India,"Financial Services, FinTech",2000000.0,"Noida, Uttar Pradesh, India",2018,2020.0,unknown
Eunimart,"E-Commerce Platforms, Retail, SaaS",0.0,"Hyderabad, Andhra Pradesh, India",2018,2020.0,unknown
Hasura,"Cloud Infrastructure, PaaS, SaaS",1600000.0,"Bengaluru, Karnataka, India",2018,2020.0,unknown
Freightwalla,"Information Services, Information Technology",0.0,"Mumbai, Maharashtra, India",2018,2020.0,unknown
Microchip Payments,Mobile Payments,0.0,"Bangalore, Karnataka, India",2018,2020.0,unknown
BizCrum Infotech Pvt. Ltd.,"B2B, Shoes",0.0,"Delhi, Delhi, India",2018,2020.0,unknown
Emojifi,Internet,0.0,"Bengaluru, Karnataka, India",2018,2020.0,unknown
Flock,"Apps, Collaboration, Developer Platform, Enterprise Software, Messaging, Productivity Tools, Video Chat",0.0,"India, Asia",2018,2020.0,unknown
Freshboxx,Food Delivery,0.0,"Hubli, Karnataka, India",2018,2020.0,unknown
