Company/Brand,Sector,Amount,HeadQuarter,Funding Year,Founded,Investor
Rupeek,FinTech,45000000.0,Bangalore,2020,2015.0,"KB Investment, Bertelsmann India Investments"
Gig India,Crowdsourcing,1000000.0,Pune,2020,2017.0,"Shantanu Deshpande, Subramaniam Ramadorai"
Slurrp Farm,Food & Bevarages,2000000.0,Gurgaon,2020,2016.0,Fireside Ventures
Medfin,HealthTech,0.0,Bangalore,2020,2017.0,"Axilor Ventures, S.D. Shibulal"
MasterG,Fashion startup,0.0,Delhi,2020,2015.0,Acumen Fund's angel programme
Brila 91,Food & Bevarages,1200000.0,Delhi,2020,2014.0,"Sequoia Capital India, Sixth Sense Ventures"
FoodyBuddy,Food Industry,600000.0,Belgaum,2020,2015.0,Rebel Foods
Zomato,Food Delivery,660000000.0,Gurgaon,2020,2008.0,"Kora, Tiger Global Management"
OurEye.ai,Virtual auditing startup,120000.0,Bangalore,2020,2020.0,"100X VC, Amara Ventures"
Shiprocket,E-commerce,7500000.0,Delhi,2020,2017.0,"Bertelsmann India Investments, InnoVen Capital"
Pine Labs,FinTech,0.0,Noida,2020,1998.0,"Mastercard, Temasek Holdings"
Moneyboxx Finance,FinTech,1000000.0,Delhi,2020,2019.0,"BlackSoil, Caspian"
EWar,Gaming,0.0,Bangalore,2020,2019.0,"Jindal Steels, Jeet Banerjee"
SucSEED Indovation,FinTech,5000000.0,Hyderabad,2020,2016.0,unknown
TaxBuddy.com,FinTech,1000000.0,Mumbai,2020,2019.0,Zenith Global
Awign Enterprises,Work fulfillment,500000.0,Bangalore,2020,2016.0,"Unitus Ventures, Work10M"
Circle of Angels,FinTech,3000000.0,Gurgaon,2020,2018.0,unknown
CoinDCX,FinTech,10000000.0,Mumbai,2020,2017.0,"Coinbase Ventures, Polychain"
Glance,AI startup,145000000.0,Bangalore,2020,2016.0,Mithril Capital Management.
VerSe Innovation,Telecommunication,100000000.0,Bangalore,2020,2007.0,Google
Voosh,Food Industry,0.0,Bangalore,2020,2020.0,Better Capital
Delhivery,E-commerce,0.0,Gurgaon,2020,2011.0,"Steadview Capital, Canada Pension Plan Investment Board"
Arya,AgriTech,21000000.0,Noida,2020,1982.0,Quona Capital
Pickrr,Logistics,4000000.0,Delhi,2020,2015.0,Swastika
PhonePe,FinTech,20000000.0,Andheri,2020,2015.0,"Flipkart, Walmart"
Countingwell,EdTech,1000000.0,Bangalore,2020,2018.0,"Delhi Private School, UAE, Interstar"
Callify.ai,Tech Startup,560000.0,Mumbai,2020,2016.0,Malpani Ventures
Hudle,Sports,0.0,Delhi,2020,2016.0,Survam Partners
Cover it Up,E-commerce,400000.0,Chennai,2020,2013.0,Angel investors
BiteSpeed,E-commerce,275000.0,Gurgaon,2020,2019.0,Whiteboard Capital
WakeFit,Retail,20000000.0,Bangalore,2020,2016.0,Sequoia Capital.
Sreyas Holistic Remedies,Medtech,1000000.0,Hyderabad,2020,2008.0,Blacksoil
Fleeca India,Tyre management,0.0,Jaipur,2020,2016.0,Bridgestone India
M1xchange,FinTech,4500000.0,Gurgaon,2020,2017.0,"BEENEXT, Mayfield Fund"
Exotel,Cloud company,5000000.0,Bangalore,2020,2011.0,"A91 Partners, Artha India Ventures"
PagarBook,Software company,15000000.0,Bangalore,2020,2019.0,"Sequoia Capital, India Quotient"
PointOne Capital,Venture capitalist,0.0,Bangalore,2020,2020.0,unknown
Ayana,Renewable player,390000000.0,Bangalore,2020,2017.0,"NIIF Ltd, CDC Group"
Fisdom,FinTech,7000000.0,Bangalore,2020,2015.0,"PayU Finance India, Quona Capital"
Tinker Coders,EdTech,0.0,Noida,2020,2020.0,STEMROBO Technologies
Infinite Uptime,IoT startup,5100000.0,Pune,2020,2015.0,"Infrastructure Leasing & Financial Services Limited, Dorm Room Fund"
HappyLocate,SaaS startup,500000.0,Bangalore,2020,2016.0,The CoWrks Foundry
PhonePe,FinTech,700000000.0,Delhi,2020,2015.0,Flipkart
Loop Health,HealthTech,2300000.0,Pune,2020,2017.0,"Y Combinator, Sierra Ventures"
NeoDocs,HealthTech,0.0,Mumbai,2020,2020.0,9Unicorns Accelerator Fund
The ePlane,Aero company,0.0,Chennai,2020,2016.0,Speciale Invest
TagMango,Marketing company,700000.0,Mumbai,2020,2019.0,"XRM Media, Kevin Lin"
The New Shop,Retail startup,500000.0,Delhi,2020,2019.0,Huddle Accelerator
MobiKwik,FinTech,7000000.0,Gurgaon,2020,2009.0,"Hindustan Media Venture, Nicolas Jarrosson"
DebugsBunny,EdTech,100000.0,Pune,2020,2020.0,India Angel Fund
BHIVE Investech,Co-working Startup,1000000.0,Bangalore,2020,2014.0,Blume Ventures
Rivigo,Logistics,19000000.0,Gurgaon,2020,2014.0,"Elevation Capital, Trifecta Capital Advisors"
ZipLoan,Finance company,3000000.0,Delhi,2020,2015.0,"Stride Ventures, Matrix Partners India"
Swipez,FinTech,0.0,Pune,2020,2014.0,"9Unicorns, Anicut"
Humus,AgriTech,0.0,Bangalore,2020,2019.0,"Venture Catalysts, 9Unicorns, We Founders Circle."
Artivatic.ai,Tech company,0.0,Bangalore,2020,2017.0,"SenseAI Ventures, Saurabh Chugh"
Prescinto,Solar Monitoring Company,0.0,Ahmedabad,2020,2016.0,"Startup incubator, Accelerator Venture Catalysts"
Toppeq,SaaS startup,0.0,Mumbai,2020,2019.0,unknown
Bolo Indya,Video sharing platform,400000.0,Gurgaon,2020,2019.0,"India Accelerator, Sunil Kamath"
Bombay Play,Gaming startup,1000000.0,Bangalore,2020,2017.0,"Ramakant Sharma, Leo Capital India"
FreshToHome,E-commerce,0.0,Bangalore,2020,2015.0,Investment Corporation of Dubai (ICD)
KIKO TV,Video streaming platform,0.0,Mumbai,2020,2020.0,"9Point8 Capital, Sunil Kumar Singhvi"
Atomberg Technologies,Consumer appliances,9000000.0,Mumbai,2020,2012.0,"Sandeep Tandon, Survam Partners"
DealShare,E-commerce,21000000.0,Jaipur,2020,2018.0,"Falcon Edge Capital, Omidyar Network"
Smallcase,FinTech,0.0,Bangalore,2020,2015.0,"WEH Ventures, BEENEXT"
CueMath,EdTech,40000000.0,Bangalore,2020,2011.0,"Sequoia Capital India, CapitalG"
Gamerji,Gaming startup,0.0,Ahmedabad,2020,2018.0,La Gajjar Group.
5C Network,HealthTech,1200000.0,Bangalore,2020,2014.0,"Axilor Ventures, Unitus Ventures"
Ethereum Push Notification Service,Blockchain startup,750000.0,Mumbai,2020,2020.0,Prolific angel investors
Mihup,Conversational AI platform,1500000.0,Kolkata,2020,2016.0,"Ideaspring Capital, Accel"
RuralBasket,E-commerce,500000.0,"Tirunelveli, Tamilnadu",2020,2019.0,Nativelead Foundation
WayCool Foods,AgriTech,7800000.0,Chennai,2020,2015.0,"FMO, IndusInd Bank"
Infra.Market,Real Estate,20000000.0,Thane,2020,2016.0,"Trifecta Capital Advisors, Nexus Venture Partners"
Info Edge Venture,Venture capitalist,50000000.0,Noida,2020,1995.0,Lightbox
Clovia,E-commerce,4000000.0,Noida,2020,2013.0,"Golden Birch Investments, She Capital"
Codingal,EdTech,560000.0,Bangalore,2020,2020.0,"Pras Hanuma, Rebright Partners, Java Capital, and GSF Accelerator."
CRED,Finance company,80000000.0,Bangalore,2020,2018.0,"General Catalyst, Ribbit Capital"
Vistaar Finance,Finance company,30000000.0,Bangalore,2020,2010.0,FMO
Let's Dive,SaaS platform,1700000.0,Bangalore,2020,2020.0,Surge
Habitat,EdTech,600000.0,unknown,2020,2016.0,"Unitus Ventures, Whiteboard Capital"
SAWO Labs,SaaS platform,600000.0,Mumbai,2020,2020.0,"StartupXseed Ventures, 100X.VC"
Signzy,AI platform,3000000.0,Bangalore,2020,2015.0,"Stellaris Venture Partners, Mastercard"
KopyKitab,EdTech,0.0,Bangalore,2020,2013.0,"Paula Mariwala, Siddharth Anand"
Kyt,EdTech,2500000.0,Singapore,2020,2020.0,Sequoia Capital India’s Surge
Raskik,Fusion beverages,1000000.0,unknown,2020,2019.0,"Venture Catalysts, 9Unicorns"
GetWork,HR Tech,40000.0,Gurugram,2020,2019.0,India Accelerator
Mobile Premier League (MPL),Gaming,500000.0,Bangalore,2020,2018.0,"Pegasus Tech Ventures, Base Partners"
Pravasirojgar,Job portal,33000000.0,unknown,2020,2020.0,GoodWorker.
Omatra Hotels,Hospitality,0.0,Kolkata,2020,2017.0,Capify
Awign,Job portal,0.0,Bangalore,2020,2016.0,"Unitus Ventures, Work10M"
NewsReach,Digital Media,1500000.0,Gujarat,2020,2018.0,"Mumbai Angels, JITO Angel Network."
Cashfree,FinTech,35000000.0,Bangalore,2020,2015.0,"George Osborne, Smilegate Investment"
Credgenics,FinTech,3000000.0,Delhi,2020,2018.0,"Accel India, Breadlake Ventures"
GeoIQ,AI startup,300000.0,Bangalore,2020,2018.0,"Ankur Mittal, Mitesh Shah"
Country Delight,Dairy startup,25000000.0,Haryana,2020,2015.0,"IIFL Asset Management, Matrix Partners"
Quintype,Content management,3500000.0,Bangalore,2020,2014.0,IIFL AMC
CARS24,Retail,200000000.0,Haryana,2020,2015.0,"Global Car Group, Freemark holdings"
Astrogate Labs,Spacetech,0.0,Bangalore,2020,2017.0,"Venture Catalysts, Speciale Invest"
Power Gummies,HealthTech,0.0,Delhi,2020,2018.0,Venture Catalysts
Cityflo,Transportation,7000000.0,Mumbai,2020,2015.0,"Anupam Mittal, India Quotient"
AlgoBulls,Trading platform,200000.0,Mumbai,2020,2019.0,Venture Catalysts
Credgenics,FinTech,3000000.0,Gurugram,2020,2018.0,"Accel India, Breadlake Ventures"
Inntot,Tech company,0.0,Kerala,2020,2014.0,Unicorn India Ventures
Ensuredit,FinTech,300000.0,Gurugram,2020,2019.0,Venture Catalysts
Shipsy,AI Company,6000000.0,Gurugram,2020,2015.0,"DTDC, Udaan Angel Partners"
ERPNext,Tech company,1000000.0,Mumbai,2020,2008.0,Rainmatter
LightSpeedAI,Photonics startup,0.0,Bangalore,2020,2019.0,"YourNest, growX ventures"
Grip Invest,FinTech,0.0,Gurugram,2020,2020.0,Gemba Capital
Unacademy,EdTech,0.0,Bangalore,2020,2015.0,"Dragoneer Investment Group, Tiger Global Management"
Yellow Classes,EdTech,1300000.0,Gurugram,2020,2020.0,India Quotient
Plum,HealthTech,4100000.0,Bangalore,2020,2019.0,"Surge, Tanglin Venture Partners"
STAGE,Entertainment,1000000.0,Indore,2020,2019.0,Venture Catalysts
Nykaa,Cosmetics,0.0,Mumbai,2020,2012.0,"Alia Bhatt, Katrina Kaif"
Kaagaz Scanner,Scanning app,575000.0,unknown,2020,2020.0,Pravega Ventures
NIRA,FinTech,1000000.0,Bangalore,2020,2017.0,"Techstars Bangalore Accelerator, Techstars"
Prolixr,Skincare startup,0.0,Gurugram,2020,2018.0,"Alfa Ventures, Divij Bajaj"
Byju's,EdTech,200000000.0,Bangalore,2020,2011.0,"Owl Ventures, Tiger Global Management"
DaMENSCH,E-commerce,6000000.0,Bangalore,2020,2018.0,"Whiteboard Capital, Matrix Partners India"
Country Delight,Food and Beverages,25000000.0,Haryana,2020,2015.0,"Orios Venture Partners, Matrix Partners India"
SignalX,AI startup,800000.0,Hyderabad,2020,2018.0,"9Unicorns, 3Lines VC, Hyderabad Angels"
Lancify,EdTech,300000.0,Bangalore,2020,2018.0,"Techstars, Techstars Bangalore Accelerator"
Krimanshi,Biotechnology company,600000.0,Jodhpur,2020,2015.0,"Rajasthan Venture Capital Fund, AIM Smart City"
Instoried,AI startup,1000000.0,Bangalore,2020,2018.0,"Venture Catalysts, SOSV"
PlayerzPot,Gaming startup,3000000.0,Mumbai,2020,2015.0,unknown
Instamojo,FinTech,0.0,Bangalore,2020,2012.0,"BASE, Gunosy Capital"
Turtlemint,HealthTech,30000000.0,Mumbai,2020,2015.0,"Nexus Venture Partners, Dream Incubator"
Arata,E-commerce,1000000.0,Delhi,2020,2017.0,DSG Consumer Partners
MPL,Gaming startup,5000000.0,Bangalore,2020,2018.0,"Pegasus Tech Ventures, Base Partners"
True Balance,FinTech,28000000.0,Gurugram,2020,2014.0,"IBK Capital, SB Partners"
Thrive,FoodTech,0.0,Mumbai,2020,2020.0,"Whiteboard Capital, Ahimsa Capital"
Kitchens Centre,Proptech,0.0,Delhi,2020,2019.0,"Jonathan Swanson, Ankush Gera"
Prescribe,HealthTech,100000.0,Chennai,2020,2019.0,Titan Capital
Nepra,CleanTech,18000000.0,Ahmedabad,2020,2006.0,"Asha Impact, Aavishkaar Venture Capital"
inFeedo,SaaS startup,3200000.0,Gurugram,2020,2013.0,"Peyush Bansal, Ritesh Malik"
Shilpa Sciences,HealthTech,0.0,Bangalore,2020,2014.0,AngelList India
Arzooo,Tech Startup,0.0,Bangalore,2020,2016.0,"3Lines, Jabbar Internet Group"
MindTickle,SaaS platform,100000000.0,Pune,2020,2011.0,"Canaan Partners, NewView Capital"
Slice,FinTech,5000000.0,Bangalore,2020,2016.0,"Better Capital, Gunosy"
Rapawalk,E-commerce,300000.0,Bangalore,2020,2017.0,"Sanjay Ramakrishnan, Ravi Garikipati"
Oga Fit's,Fitness startup,0.0,Bangalore,2020,2017.0,9Unicorns
LAVAL,Cosmetics,0.0,Bangalore,2020,2016.0,Jazal Group
Stride Ventures,Venture capitalist,80000000.0,Delhi,2020,2019.0,Small Industries Development Bank of India
BlackSoil,FinTech,10000000.0,Mumbai,2020,2016.0,unknown
Biocon,Healthcare,15000000.0,Bangalore,2020,1978.0,Goldman Sachs
Clientjoy,SaaS startup,800000.0,Gujarat,2020,2013.0,"LetsVenture, Jyotsna Bapat"
Xpressbees,E-commerce,100000000.0,Pune,2020,2015.0,"Alibaba Group, InnoVen Capital"
GalaxyCard,FinTech,0.0,Gurugram,2020,2017.0,India Accelerator
Wellness Forever,HealthTech,100000000.0,Mumbai,2020,2008.0,"Poonawalla, Allana Group"
MoooFarm,AgriTech,500000.0,Gurugram,2020,2019.0,"Navus Ventures, Rockstart"
BitClass,PaaS startup,2000000.0,Bangalore,2020,2020.0,"AET Japan, Figure Eight Investments, Waterbridge Ventures"
Gonuts,Entertainment,400000.0,Mumbai,2020,2020.0,"Sweta Rau, Archana Priyadarshini"
Uolo,EdTech,2000000.0,Bangalore,2020,2013.0,"Rajul Garg, Purvi Capital"
Kirana King,Retail,900000.0,"Jaipur, Rajastan",2020,2014.0,Rajasthan Venture Capital Fund
Jade Forest,Beverages,250000.0,Delhi,2020,2020.0,unknown
iKure,HealthTech,0.0,Kolkata,2020,2010.0,"Ratan Tata, Inflection Point Ventures, Ankur Mittal"
FrontRow,EdTech,3200000.0,Bangalore,2020,2020.0,"Lightspeed, Elevation, Deepika Padukone"
Reliance Retail,E-commerce,10000000.0,Mumbai,2020,2006.0,"Abu Dhabi Investment Authority, GIC"
TUBBR,Social Media,0.0,"Frisco, Texas, United States",2020,2019.0,Global Ascent Partners
Ather Energy,Automobiles,35000000.0,Bangalore,2020,2013.0,HeroMotoCorp Ltd and Sachin Bansal
Routematic,SaaS startup,2000000.0,Bangalore,2020,2007.0,"VAMM Ventures, Naresh Malhotra"
LivFin,FinTech,4700000.0,Delhi,2020,2017.0,"DEG, KFW DEG"
Universal Sportsbiz Pvt Ltd,Fashion startup,0.0,Bangalore,2020,2012.0,"Accel, Alteria Capital"
Lattu Kids,EdTech,0.0,Mumbai,2020,2017.0,Mumbai Angels Network
Eggoz,Food & Bevarages,1500000.0,Indore,2020,2016.0,"AVANA Capital, Rebright Partners"
Steradian Semiconductors,Deeptech,0.0,Bangalore,2020,2016.0,Endiya Partners.
CHARGE+ZONE,EV startup,3000000.0,Gujarat,2020,2018.0,Mumbai Angels
Stones2milestones,EdTech,2000000.0,Gurugram,2020,2008.0,"Menterra Venture Advisors, Emandi Sankara Rao"
Udacity,EdTech,75000000.0,California,2020,2011.0,"Hercules Capital, Inc.Bertelsmann"
AjnaLens,AR/VR startup,1000000.0,Thane,2020,2014.0,"Mohsin Hani Al Bahrani, MoD"
Gully Network,E-commerce,1200000.0,Bangalore,2020,2019.0,"CP Ventures, Orios Venture Partners"
TurboHire,Recruitment startup,1000000.0,Hyderabad,2020,2018.0,"Kia Ora Ventures, Pentathlon Ventures"
Traya,HealthTech,0.0,Mumbai,2020,2020.0,"Kae Capital, Whiteboard Capital"
Charcoal Eats,QSR startup,2000000.0,Mumbai,2020,2015.0,Lokmat Investments
Mitron TV,Video platform,0.0,Bangalore,2020,2020.0,9Unicorns
Svami,Food & Bevarages,800000.0,Mumbai,2020,2016.0,"Niren Shah, Rukam Capital Trust"
Dhurnia,EdTech,100000.0,"Dhingsara, Haryana",2020,2018.0,"Chandigarh Angels Network, Modulor Capital"
Expertrons,EdTech,0.0,Mumbai,2020,2019.0,"Rohit Chanana, Sukanta Ganguly"
Leena AI,AI startup,8000000.0,"New York, United States",2020,2015.0,"Alan Patricof, Jim Moffatt"
Bizlog,Logistics,1000000.0,Bangalore,2020,2016.0,IAN Fund
Tamasha.live,Gaming,300000.0,Mumbai,2020,2020.0,"9Unicorns, Titan Capital, FirstCheque"
Fedo,AI startup,1000000.0,Bangalore,2020,2017.0,AIM Smart City
FabHotels,Hospitality,1000000.0,Gurugram,2020,2015.0,"RB Investments Pte. Ltd, Goldman Sachs"
Freshokartz,AgriTech,1000000.0,"Jaipur, Rajastan",2020,2016.0,"Rajasthan Venture Capital Fund, Innovana Thinklabs"
FlexiLoans,FinTech,6000000.0,Mumbai,2020,2016.0,>Vikram Sud
Agrix,AgriTech,0.0,Patna,2020,2020.0,Maple Capital Advisors
BharatAgri,AgriTech,0.0,Pune,2020,2017.0,"021 Capital, India Quotient"
FreshtoHome,E-commerce,121000000.0,Bangalore,2020,2015.0,"Ascent Capital, Iron Pillar"
Credable,FinTech,4500000.0,Mumbai,2020,2017.0,Oaks Asset Management
Railofy,Transportation,5000000.0,Mumbai,2020,2019.0,"Roots Ventures, Better Capital"
Finova Capital,FinTech,55000000.0,"Jaipur, Rajastan",2020,2016.0,"Sequoia Capital India, Faering Capital"
Teachmint,Edtech,3500000.0,Bangalore,2020,2020.0,Lightspeed India
Peel-Works,E-commerce,3000000.0,Mumbai,2020,2010.0,"CESC Ventures, Brun Raschle"
Janani,Fertility tech,200000.0,Bangalore,2020,2020.0,9Unicorns
Credgenics,FinTech,3300000.0,Gurugram,2020,2018.0,"Accel, Sunder Nookala"
Finelistings,Luxury car startup,0.0,Delhi,2020,2015.0,Justdial
Wellversed,Healthcare,0.0,Delhi,2020,2018.0,"KLUB Works, Shankar Narayanan"
Jumbotail,E-commerce,11000000.0,Bangalore,2020,2015.0,Nexus Venture Partners and 23 High Networth Individuals (HNIs)
Winzo,Gaming startup,2000000.0,Delhi,2020,2018.0,"Makers Fund, Courtside Ventures"
mCaffeine,Cosmetics,5000000.0,Mumbai,2020,2015.0,"RPSG Ventures, Amicus Capital"
Pocket FM,FM,5000000.0,Bangalore,2020,2018.0,"Times Group, Lightspeed"
Snackible,Healthcare,0.0,Mumbai,2020,2015.0,"Mumbai Angels, Murali Nair"
FreshtoHome,E-commerce,16000000.0,Bangalore,2020,2015.0,"Ascent Capital, Iron Pillar"
Jumbotail,Retail,11000000.0,Bangalore,2020,2015.0,"Nexus Venture Partners, Capria Ventures"
Nykaa,E-commerce,0.0,Mumbai,2020,2012.0,"Katrina Kaif, Steadview Capital"
TagZ Foods,Food,0.0,Bangalore,2020,2019.0,"Exfinity Venture Partners, Shesh Kondi"
Genius Teacher,Edtech,2000000.0,Mumbai,2020,2016.0,"Sandeep Tandon, Daniel Lapus"
Krimanshi Feeds,Nutrition sector,500000.0,Jodhpur,2020,2015.0,"Rajasthan Venture Capital Fund, AIM Smart City"
Origo,AgriTech,4000000.0,Gurugram,2020,2010.0,Northern Arc Capital
GetVantage,FinTech,5000000.0,Mumbai,2020,2019.0,"Samyakth Capital, Venture Catalysts"
Betterplace,Tech platform,10000000.0,Bangalore,2020,2015.0,Jungle Ventures
Biddano,Healthcare,600000.0,Mumbai,2020,2016.0,Windrose Capital
InVideo,Video,15000000.0,Mumbai,2020,2017.0,"Base Partners, Sequoia Capital India"
Arzooo,Retail Tech,7500000.0,Bangalore,2020,2016.0,"3Lines, Jabbar Internet Group"
Hubilo,Tech company,4500000.0,"San Francisco, California, United States",2020,2020.0,"Nishant Rao, Jonathan Boutelle"
BASIC Home Loan,FinTech,5000000.0,Gurugram,2020,2020.0,Picus Capital
Ketos,AI startup,18000000.0,"San Francisco, United States",2020,2015.0,"Citi Ventures, Illuminated Funds Group"
SUGAR cosmetics,Cosmetics,2000000.0,Mumbai,2020,2012.0,"A91 Partners, RB Investments Pte. Ltd"
Signzy,FinTech,5400000.0,Bangalore,2020,2015.0,"GenNext Ventures, Contrarian Drishti Partners"
Ahaguru,Edtech,0.0,Chennai,2020,2012.0,Anand Mahindra
Tekion,AI startup,150000000.0,"San Ramon, California",2020,2016.0,"Alliance Ventures, Storm Ventures"
Brighteye Ventures,Edtech,5400000.0,"Paris, Ile-de-France, France",2020,2017.0,Tandem
EzeRx,Medtech,200000.0,Kolkata,2020,2018.0,"Indian Oil Corporation, Krishna Chakravarty"
VitalTech,HeathTech,3000000.0,"Plano, Texas, United States",2020,2018.0,Tech Mahindra
Genius Teacher,Edtech,2000000.0,Mumbai,2020,2016.0,"Whiteboard Capital, VKG Ventures LLP."
Ultraviolette Automotive,Automobiles,4000000.0,Bangalore,2020,2014.0,TVS Motor Company
Tring,Social Media,0.0,Mumbai,2020,2019.0,"Sujeet Kumar, Hemesh Singh"
Rare Planet,Retail startup,400000.0,Kolkata,2020,2015.0,Venture Catalysts
GoodGamer,Gaming,2500000.0,Bangalore,2020,2020.0,unknown
InnAccel,Medtech,1500000.0,Bangalore,2020,2012.0,Mount Judi Ventures
Tiliter,Retail,7500000.0,Sydney,2020,2017.0,"AngelList, Investec"
Slintel,Sles and marketing,4200000.0,"San Francisco Bay Area, Silicon Valley, West Coast",2020,2016.0,"Accel, Stellaris Venture Partners"
SoOLEGAL,LegalTech,4000000.0,Delhi,2020,2015.0,unknown
HobSpace,Edtech,200000.0,Mumbai,2020,2019.0,Artha Venture
Supplynote,SaaS startup,500000.0,Noida,2020,2015.0,"MOX, SOSV"
Hire Me Car,Car Service,0.0,Noida,2020,2020.0,unknown
ShopUp,E-commerce,22000000.0,Bangaldesh,2020,2017.0,"Flourish Ventures, Lonsdale Capital"
Harmonizer India,Tech Startup,0.0,Bangalore,2020,2019.0,Kapil Dev
Zomato,FoodTech,52000000.0,Gurugram,2020,2008.0,"Kora, Tiger Global Management"
Dukaan,Tech Startup,6000000.0,Mumbai,2020,2020.0,"Lightspeed, Matrix Partners."
CredR,Bike marketplace,2000000.0,Mumbai,2020,2014.0,"Eight Roads Ventures, On Mauritius"
Satyukt,Agri tech,500000.0,Bangalore,2020,2018.0,"NABVENTURES, Social Alpha (India)"
RACEnergy,Automobiles,0.0,Hyderabad,2020,2018.0,"growX Ventures, Huddle (Incubator)"
TREAD,Fitness startup,1100000.0,Bangalore,2020,2020.0,"Better Capital, Kunal Shah, Gaurav Munjal"
Anveshan,FoodTech,100000.0,Bangalore,2020,2019.0,Titan Capital
TeaMonk,Food & Bevarages,900000.0,Bangalore,2020,2016.0,"Lead Angels Network, Roots Ventures"
Fleetx,Tech Startup,3000000.0,Gurugram,2020,2017.0,"Rohit Bansal, Rohan Ranavat"
ReNEWate,Real Estate,0.0,Pune,2020,2018.0,Real Estate Accelerator Program
Tango Eye,SaaS startup,0.0,Chennai,2020,2018.0,"Riso Investments, Lenskart"
Rare Planet,Reatil startup,0.0,Kolkata,2020,2015.0,Venture Catalysts
Avataa Me,AR platform,7000000.0,Bangalore,2020,2014.0,Sequoia Capital India
Arrival,EV startup,118000000.0,"London, England, United Kingdom",2020,2015.0,"UPS Ventures, Hyundai Motor Company"
Cover Genius,FinTech,15000000.0,"Sydney, New South Wales, Australia",2020,2014.0,"King River Capital, Leap Capital"
Phononic Vibes,Deeptech,2300000.0,"Milano, Lombardia, Italy",2020,2018.0,unknown
MikeLegal,LegalTech,0.0,Gurugram,2020,2017.0,"SOSV, Artesian"
Clair,FinTech,4500000.0,"New York, United States",2020,2019.0,"Upfront Ventures, Walkabout Ventures"
Gourmet Garden,Consumer Goods,0.0,"Palmwoods, Queensland, Australia",2020,1999.0,Advent Partners
Miko,AI startup,3000000.0,Mumbai,2020,2015.0,"Stride Ventures, YourNest Venture Capital"
Razorpay,FinTech,100000000.0,Bangalore,2020,2014.0,"Tiger Global Management, Sequoia Capital India"
Ninjacart,Food Industry,30000000.0,Bangalore,2020,2015.0,"Syngenta Ventures, Walmart"
Wow! Momo,Food Industry,5000000.0,Kolkata,2020,2008.0,"Tiger Global Management, William Bissell"
Pepper Content,Content marketplace,4200000.0,Mumbai,2020,2017.0,"Alok Mittal, Manan Maheshwari"
LIVSPACE,Interior Design,4000000.0,Bangalore,2020,2014.0,"Mercer Investments, Bessemer Venture Partners"
Acculi Labs,Healthcare,600000.0,Bangalore,2020,2017.0,Startup Basket.
Your MD,Healthcare,25000000.0,"London, England, United Kingdom",2020,2012.0,"Orkla Ventures, Smedvig Capital"
Antaios,Tech company,11000000.0,France,2020,2016.0,unknown
Unnati,AgriTech,1700000.0,Noida,2020,2017.0,NABVENTURES
Disprz,Edtech,1600000.0,Chennai,2020,2015.0,"Xseed Partners, InnoVen Capital"
Uni,FinTech,18500000.0,Mumbai,2020,2020.0,"Lightspeed India Partners, Accel India"
Credit Wise Capital,FinTech,6000000.0,Mumbai,2020,1994.0,Venture Catalysts
Chargebee,SaaS startup,55000000.0,"San Francisco Bay Area, West Coast, Western US",2020,2011.0,"Accel, Steadview Capital"
Reliance Retail Ventures Ltd,Retail,70000000000.0,Mumbai,2020,2006.0,"Silver Lake, Mubadala Investment Company"
Winuall,Edtech,2000000.0,Bangalore,2020,2019.0,"Amit Lakhotia, Akash Gehani"
Genrobotics,AI startup,300000.0,"Trivandrum, Kerala, India",2020,2015.0,Unicorn India Ventures
Livve,Rental space,1500000.0,Cochin,2020,2015.0,unknown
Ergos,AgriTech,5000000.0,"Samastipur, Bihar",2020,2012.0,"Aavishkaar Venture Capital, Chiratae Ventures"
Krishitantra,Soil-Tech,1000000.0,Hyderabad,2020,2017.0,"NABVENTURES, Omnivore"
PakkaProfile,Recruitment startup,0.0,Bangalore,2020,2019.0,Java Capital
Monet Networks,AI startup,500000.0,"Irvine, California, United States",2020,2014.0,"SenseAI Ventures, EvoNexus"
Unocoin,FinTech,0.0,"Tumkur, Karnataka",2020,2013.0,"Digital Finance Group, FundersClub"
Pesto,Edtech,0.0,Delhi,2020,2017.0,"Sriharsha Majety, Rahul Jaimini"
NirogStreet,Ayurveda tech,2000000.0,Gurugram,2020,2016.0,"Wavemaker Partners, Subho Ray"
Bambrew,Packaging solution startup,0.0,Bangalore,2020,2018.0,Upsparks
Omnify,SaaS startup,0.0,"San Francisco Bay Area, Silicon Valley, West Coast",2020,2016.0,"Saurabh Arora, LD Sharma"
Fanball XI,Gaming,1000000.0,Delhi,2020,2020.0,Foxhog Ventures
Treebo Hotels,Hospitality,6000000.0,Bangalore,2020,2015.0,"Ramesh Mangaleswaran, Saikiran Krishnamurthy"
GPS Renewables,Cleantech,3000000.0,Bangalore,2020,2010.0,"Triodos, Caspian"
Public,Social Media,30000000.0,Delhi,2020,2019.0,"Lee Fixel's Addition, SIG Global, Tanglin Venture Partners"
Legal Salah,LegalTech,1000000.0,Kolkata,2020,2015.0,I2I Capitals
FanPlay,Gaming,0.0,Delhi,2020,2018.0,"Core91 Fund, Anupam Mittal"
ECOSTP,Sanitation solutions,19000000.0,Bangalore,2020,2017.0,Terwilliger Centre
Coralogix,SaaS startup,25000000.0,"San Francisco, California, United States",2020,2013.0,"2B Angels, Janvest Capital Partners"
